Object ID,CNN ID,Street Name,Street Type,Supervisor District,Layer Input,Collection Method,Parking Supply,Year,Last Edited Date,Geom
2291,13714201,WOODSIDE,AVE,07,STREETS,FIELD,5555,2010,,"LINESTRING (-122.45632792678408 37.74653538516176, -122.45627315696066 37.74648008655477, -122.45558055291148 37.746314718140276, -122.45547994995934 37.74633291977925)"
2292,13714101,WOODSIDE,AVE,07,STREETS,FIELD,12,2010,,"LINESTRING (-122.45632792678408 37.74653538516176, -122.45623755660068 37.74656333108478, -122.45554706938358 37.74639846806046, -122.45547994995934 37.74633291977925)"
2293,13715201,WOODSIDE,AVE,07,STREETS,FIELD,0,2013,,"LINESTRING (-122.45547994995934 37.74633291977925, -122.4554264049572 37.746268542211546, -122.45486385611088 37.74613422261816, -122.45478227372504 37.746104354707555, -122.45467731448488 37.74611110751888)"
2294,13716101,WOODSIDE,AVE,07,STREETS,FIELD,7,2013,,"LINESTRING (-122.45467731448488 37.74611110751888, -122.45459782201885 37.7461119718684, -122.4542881495943 37.74591308511035, -122.45397259223724 37.745770016317955, -122.45392964713115 37.74570486120715)"
2295,13716201,WOODSIDE,AVE,07,STREETS,FIELD,7,2013,,"LINESTRING (-122.45467731448488 37.74611110751888, -122.45465187566198 37.74604264495691, -122.45434517723757 37.74584566738777, -122.45401979355998 37.74569871156931, -122.45392964713115 37.74570486120715)"
2296,13717201,WOODSIDE,AVE,07,STREETS,FIELD,9,2013,,"LINESTRING (-122.45392964713115 37.74570486120715, -122.45386305752051 37.745654720567735, -122.45365398335542 37.74562182063083, -122.45338484916343 37.74561405445609, -122.45223637290502 37.74561827074628, -122.45193984886325 37.74557424440177, -122.45176113954618 37.745530168496565, -122.45163720367982 37.74553917777023)"
2297,13717101,WOODSIDE,AVE,07,STREETS,FIELD,18,2013,,"LINESTRING (-122.45392964713115 37.74570486120715, -122.45384239450915 37.74572895402507, -122.45365837531864 37.74570049898842, -122.453389240865 37.74569273372469, -122.45224076334353 37.74569694825587, -122.45182928178403 37.74567615545783, -122.45170470579255 37.745611373809076, -122.45163720367982 37.74553917777023)"
2298,7994000,LAGUNA HONDA,BLVD,07,STREETS,FIELD,11,2013,,"LINESTRING (-122.45793019930429 37.74583993998335, -122.45757011903122 37.74558397361717, -122.45740757400858 37.74549532693678)"
2299,7995000,LAGUNA HONDA,BLVD,07,STREETS,FIELD,12,2013,,"LINESTRING (-122.45740757400858 37.74549532693678, -122.45719596485704 37.745406352205485, -122.45697919596176 37.74511404087195, -122.45686116781448 37.74481252363364)"
2300,7996000,LAGUNA HONDA,BLVD,07,STREETS,FIELD,11,2013,,"LINESTRING (-122.45686116781448 37.74481252363364, -122.45653827220514 37.744062527936734)"
2301,11101000,ROCKAWAY,AVE,07,STREETS,FIELD,7,2013,,"LINESTRING (-122.45591836938901 37.7434873885562, -122.4561203475026 37.743437380031494, -122.45669104652804 37.743362076216066, -122.4569761224459 37.74337537117394)"
2302,916101,19TH,AVE,07,STREETS,FIELD,16,2012,,"LINESTRING (-122.47630546102337 37.75238353680614, -122.47623654704168 37.75227182392948, -122.47612260185446 37.75063270215143, -122.47617643497651 37.750517214916016)"
2303,916201,19TH,AVE,04,STREETS,FIELD,19,2013,,"LINESTRING (-122.47630546102337 37.75238353680614, -122.47635646602119 37.75226794375718, -122.47624240718419 37.75062720894683, -122.47617643497651 37.750517214916016)"
2304,765000,17TH,AVE,07,STREETS,FIELD,47,2012,,"LINESTRING (-122.47408848734875 37.75060923412547, -122.47395891266311 37.74874444070087)"
2305,841000,18TH,AVE,07,STREETS,FIELD,43,2012,,"LINESTRING (-122.47528964174386 37.75242888606973, -122.47515976990785 37.75056202613011)"
2306,842000,18TH,AVE,07,STREETS,FIELD,40,2012,,"LINESTRING (-122.47515976990785 37.75056202613011, -122.47503016615188 37.7486972339065)"
2307,843000,18TH,AVE,07,STREETS,FIELD,44,2012,,"LINESTRING (-122.47503016615188 37.7486972339065, -122.47490052347594 37.746831756775634)"
2308,1013000,20TH,AVE,04,STREETS,FIELD,43,2012,,"LINESTRING (-122.47729647420837 37.75046783781249, -122.47716681699661 37.7486030479091)"
2309,1014000,20TH,AVE,04,STREETS,FIELD,45,2012,,"LINESTRING (-122.47716681699661 37.7486030479091, -122.47703711201156 37.74673745428472)"
2310,917201,19TH,AVE,04,STREETS,FIELD,18,2013,,"LINESTRING (-122.47617643497651 37.750517214916016, -122.47622923609524 37.75040394306365, -122.47611492268643 37.748759482672966, -122.47604631944586 37.74865244546998)"
2311,917101,19TH,AVE,07,STREETS,FIELD,8,2012,,"LINESTRING (-122.47617643497651 37.750517214916016, -122.47610546678236 37.75040914944843, -122.47599118204975 37.74876506702192, -122.47604631944586 37.74865244546998)"
2312,918201,19TH,AVE,04,STREETS,FIELD,19,2013,,"LINESTRING (-122.47604631944586 37.74865244546998, -122.47610056105219 37.74854165489303, -122.47598601058017 37.74689369844168, -122.47591524073958 37.7467869759721)"
2313,918101,19TH,AVE,07,STREETS,FIELD,19,2012,,"LINESTRING (-122.47604631944586 37.74865244546998, -122.47597488826393 37.748546955298565, -122.47586035859902 37.74689924986833, -122.47591524073958 37.7467869759721)"
2314,766000,17TH,AVE,07,STREETS,FIELD,44,2012,,"LINESTRING (-122.47395891266311 37.74874444070087, -122.47382929951084 37.74687902184259)"
